Classifier,Learning Rate,Hidden Units,Momentum,Batch Size,Weight Decay,Validation Accuracy,Test Accuracy
EfficientNet_V2_S_Weights,0.001,256,0.95,16,0.0001,0.9154518950437318,0.82
EfficientNet_V2_S_Weights,0.001,256,0.95,16,0.001,0.8892128279883382,0.81
EfficientNet_V2_S_Weights,0.001,256,0.95,32,0.0001,0.9067055393586005,0.82
EfficientNet_V2_S_Weights,0.001,256,0.95,32,0.001,0.8833819241982507,0.7933333333333333
EfficientNet_V2_S_Weights,0.001,256,0.95,64,0.0001,0.892128279883382,0.8033333333333333
EfficientNet_V2_S_Weights,0.001,256,0.95,64,0.001,0.9008746355685131,0.8066666666666666
EfficientNet_V2_S_Weights,0.001,512,0.95,16,0.0001,0.9008746355685131,0.8266666666666667
EfficientNet_V2_S_Weights,0.001,512,0.95,16,0.001,0.9037900874635568,0.8133333333333334
EfficientNet_V2_S_Weights,0.001,512,0.95,32,0.0001,0.8746355685131195,0.8066666666666666
EfficientNet_V2_S_Weights,0.001,512,0.95,32,0.001,0.8892128279883382,0.8066666666666666
EfficientNet_V2_S_Weights,0.001,512,0.95,64,0.0001,0.8979591836734694,0.8033333333333333
EfficientNet_V2_S_Weights,0.001,512,0.95,64,0.001,0.8833819241982507,0.8133333333333334
EfficientNet_V2_S_Weights,0.001,1024,0.95,16,0.0001,0.8979591836734694,0.8133333333333334
EfficientNet_V2_S_Weights,0.001,1024,0.95,16,0.001,0.9125364431486881,0.8066666666666666
EfficientNet_V2_S_Weights,0.001,1024,0.95,32,0.0001,0.892128279883382,0.8166666666666667
EfficientNet_V2_S_Weights,0.001,1024,0.95,32,0.001,0.8892128279883382,0.8233333333333334
EfficientNet_V2_S_Weights,0.001,1024,0.95,64,0.0001,0.8892128279883382,0.8
EfficientNet_V2_S_Weights,0.001,1024,0.95,64,0.001,0.880466472303207,0.8
EfficientNet_V2_S_Weights,0.01,256,0.95,16,0.0001,0.9212827988338192,0.8266666666666667
EfficientNet_V2_S_Weights,0.01,256,0.95,16,0.001,0.892128279883382,0.8533333333333334
EfficientNet_V2_S_Weights,0.01,256,0.95,32,0.0001,0.9067055393586005,0.83
EfficientNet_V2_S_Weights,0.01,256,0.95,32,0.001,0.9212827988338192,0.84
EfficientNet_V2_S_Weights,0.01,256,0.95,64,0.0001,0.892128279883382,0.8166666666666667
EfficientNet_V2_S_Weights,0.01,256,0.95,64,0.001,0.9008746355685131,0.8333333333333334
EfficientNet_V2_S_Weights,0.01,512,0.95,16,0.0001,0.9067055393586005,0.8533333333333334
EfficientNet_V2_S_Weights,0.01,512,0.95,16,0.001,0.9037900874635568,0.8466666666666667
EfficientNet_V2_S_Weights,0.01,512,0.95,32,0.0001,0.9067055393586005,0.86
EfficientNet_V2_S_Weights,0.01,512,0.95,32,0.001,0.9067055393586005,0.8466666666666667
EfficientNet_V2_S_Weights,0.01,512,0.95,64,0.0001,0.8950437317784257,0.81
EfficientNet_V2_S_Weights,0.01,512,0.95,64,0.001,0.9037900874635568,0.8233333333333334
EfficientNet_V2_S_Weights,0.01,1024,0.95,16,0.0001,0.9154518950437318,0.8266666666666667
EfficientNet_V2_S_Weights,0.01,1024,0.95,16,0.001,0.9008746355685131,0.82
EfficientNet_V2_S_Weights,0.01,1024,0.95,32,0.0001,0.9212827988338192,0.82
EfficientNet_V2_S_Weights,0.01,1024,0.95,32,0.001,0.9125364431486881,0.8366666666666667
EfficientNet_V2_S_Weights,0.01,1024,0.95,64,0.0001,0.9329446064139941,0.8433333333333334
EfficientNet_V2_S_Weights,0.01,1024,0.95,64,0.001,0.9183673469387755,0.83
